id,aqi,lan,lng,time,tz
767,74,28.659261,121.280823,1492124400,+08:00
768,42,28.42305556,119.8794444,1492124400,+08:00
769,46,28.447794,119.9187,1492124400,+08:00
771,87,23.1422,113.235,1492124400,+08:00
772,122,23.1331,113.26,1492124400,+08:00
773,112,23.105,113.261,1492124400,+08:00
775,114,23.0916,113.348,1492124400,+08:00
776,119,23.105,113.433,1492124400,+08:00
777,151,22.9477,113.352,1492124400,+08:00
778,87,23.3917,113.215,1484557200,+08:00
779,112,23.2783,113.568,1492124400,+08:00
780,80,23.1569,113.281,1492124400,+08:00
781,127,23.6502,113.6246,1492124400,+08:00
782,78,23.4208,113.073,1492124400,+08:00
783,104,23.1064,113.3328,1492124400,+08:00
784,127,22.2281,113.299,1492124400,+08:00
785,124,22.2611,113.574,1492124400,+08:00
786,137,22.2294,113.495,1492124400,+08:00
787,107,22.4251,113.628,1492124400,+08:00
789,134,23.0048,113.134,1492124400,+08:00
