R,G,B,Transparency,Distance
168,56,132,255,53.50061215953953
178,60,148,255,71.33420611862397
157,59,132,255,51.746857167224036
147,54,125,255,46.142279567001154
146,56,128,255,48.93640061847957
144,43,101,255,30.403590811716974
136,31,35,255,58.39346594095745
152,49,56,255,27.937025177707568
128,31,42,255,56.54947089049542
150,40,39,255,47.27364942079767
192,74,72,255,39.35610957488543
206,83,78,255,54.757576450768546
210,88,83,255,60.44241625290249
197,62,66,255,44.0187932546138
193,38,46,255,56.411855111129974
189,34,38,255,61.00197500126227
199,67,62,255,47.559830105643044
200,97,88,255,57.074920922915666
182,62,72,255,27.89269442710644
209,78,96,255,58.022077762135034
95,81,81,255,63.25294704400878
97,86,90,255,63.78392418057692
93,83,91,255,66.61903721252546
121,109,119,255,69.73897976815084
84,72,82,255,72.08173576091214
94,83,97,255,66.91611947536575
125,114,128,255,76.6380734927961
114,106,117,255,70.51154374827541
109,40,61,255,54.96952641945173
122,33,77,255,44.500221438193286
150,51,106,255,28.484965222455322
161,54,122,255,42.79352383818295
172,54,138,255,60.52662266281042
149,51,124,255,45.492585685479426
139,48,118,255,43.43189318877213
165,72,142,255,63.12868052183069
138,35,44,255,48.64855443508385
144,42,55,255,34.38882560936882
180,66,65,255,29.260121190347046
204,82,79,255,52.49430473553279
205,84,76,255,54.35315490564768
214,86,85,255,63.415035489642385
187,34,39,255,59.22051582902408
192,37,41,255,59.382671352255834
179,41,38,255,52.94473635224997
195,85,88,255,46.32152824064389
198,74,85,255,44.44456953663038
122,89,80,255,42.81177388065836
97,69,65,255,60.766967512260294
100,86,86,255,60.547803273208665
88,77,85,255,69.15332516303667
102,89,99,255,62.57258410037246
118,106,116,255,67.70867445333096
127,113,128,255,75.1880373068391
92,89,98,255,71.04229534029406
136,50,95,255,27.188868389071835
149,48,106,255,29.991323840492935
168,52,125,255,47.47982314427694
179,55,141,255,65.45399945439897
158,56,130,255,50.07745072585592
133,38,106,255,41.76685194075301
145,53,120,255,41.98698078879414
169,70,127,255,49.18602899398703
143,40,51,255,38.862202369538494
150,42,42,255,43.711176364233765
193,78,73,255,41.44429593381613
208,91,82,255,59.986102897663635
200,88,76,255,51.70591716547122
190,52,49,255,47.81597729440502
184,41,37,255,56.12432244226279
181,43,40,255,51.52849285582549
199,65,62,255,47.400422566533486
194,81,85,255,43.179508114854464
206,76,88,255,52.99858595032582
219,72,98,255,66.72116453948557
112,75,57,255,50.923476761421426
97,78,74,255,60.8271110581263
91,80,86,255,67.04293647395998
89,76,86,255,68.04458270284849
111,97,110,255,63.70580391500592
121,109,123,255,72.0312488088319
115,109,121,255,73.96463374911974
113,36,72,255,50.54589386319619
142,48,98,255,26.307314949825724
162,51,117,255,38.86602497827123
175,54,133,255,56.75275915618116
